name:suite,T_instructions,T_cycles,T_stalled_cycles_backend,T_lsq_load_evs,T_lsq_store_evs,time_elapsed_s,speedup_il,speedup_an,G_mem_acc_0_to_0,G_mem_acc_0_to_1,G_mem_acc_0_to_2,G_mem_acc_0_to_3,G_mem_acc_0_to_4,G_mem_acc_0_to_5,G_mem_acc_0_to_6,G_mem_acc_0_to_7,G_mem_acc_1_to_0,G_mem_acc_1_to_1,G_mem_acc_1_to_2,G_mem_acc_1_to_3,G_mem_acc_1_to_4,G_mem_acc_1_to_5,G_mem_acc_1_to_6,G_mem_acc_1_to_7,G_mem_acc_2_to_0,G_mem_acc_2_to_1,G_mem_acc_2_to_2,G_mem_acc_2_to_3,G_mem_acc_2_to_4,G_mem_acc_2_to_5,G_mem_acc_2_to_6,G_mem_acc_2_to_7,G_mem_acc_3_to_0,G_mem_acc_3_to_1,G_mem_acc_3_to_2,G_mem_acc_3_to_3,G_mem_acc_3_to_4,G_mem_acc_3_to_5,G_mem_acc_3_to_6,G_mem_acc_3_to_7,G_mem_acc_4_to_0,G_mem_acc_4_to_1,G_mem_acc_4_to_2,G_mem_acc_4_to_3,G_mem_acc_4_to_4,G_mem_acc_4_to_5,G_mem_acc_4_to_6,G_mem_acc_4_to_7,G_mem_acc_5_to_0,G_mem_acc_5_to_1,G_mem_acc_5_to_2,G_mem_acc_5_to_3,G_mem_acc_5_to_4,G_mem_acc_5_to_5,G_mem_acc_5_to_6,G_mem_acc_5_to_7,G_mem_acc_6_to_0,G_mem_acc_6_to_1,G_mem_acc_6_to_2,G_mem_acc_6_to_3,G_mem_acc_6_to_4,G_mem_acc_6_to_5,G_mem_acc_6_to_6,G_mem_acc_6_to_7,G_mem_acc_7_to_0,G_mem_acc_7_to_1,G_mem_acc_7_to_2,G_mem_acc_7_to_3,G_mem_acc_7_to_4,G_mem_acc_7_to_5,G_mem_acc_7_to_6,G_mem_acc_7_to_7,best_policy
add:easy,0.004006677002300001,0.133353515784,0.0508074000777,5.563369999999999e-07,0.00485777311775,3.13625,0.7835727670206121,0.9964257347100872,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,0.0127631573125,0.074477817,0.0003403959375,0.3251044433125,0.0003289118125,0.1512348015625,0.00039021,0.058665423,node_local
barnes:splash2x,0.642933591438,1.1519009272799998,0.24448857449499997,0.00251507420325,0.019386873005999998,10.453125,0.9985074626865672,1.008928032816553,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,1.48321902125,1.197443441375,1.101074812625,3.2899522604375,1.0853323051875,1.4348699795,1.1526610001875,0.9439339233125,autonuma
bt.c:npb,10.1269661376,67.8925738934,23.4636864502,2.9695609557599996,12.0915268275,434.68,1.4586118305841889,1.0815911716999238,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,43.7214316958125,45.33110012575,44.5306837148125,47.0489088896875,44.658847779875,47.7778128653125,42.9413565898125,45.2012647858125,interleave
cg.c:npb,1.8262503189900001,24.4793928406,8.65825595384,0.0570619873168,0.06637365258719999,178.005,5.023866222151664,4.13400296107063,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,4.404859697,8.689764245375,0.8874594085625,2.4586991358125,3.4398298380625,5.4243358150625,2.860287718375,4.014064600125,interleave
ch:easy,0.472609049367,6.1573809519500005,2.9950491476999996,6.5577705e-06,0.0299244992298,35.074375,1.7166498424642869,4.612394180981344,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,0.633792545875,1.7080611359375,0.8422625305625,2.3838985733125,0.44990981725,3.047644116625,0.0089616,0.6078745665,autonuma
cholesky:splash2x,0.0557574650026,0.0370881239123,0.0016669613159000002,3.830279925e-05,0.00022257724375,1.20125,0.9161105815061964,0.9746450304259636,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,0.018810985625,0.00736070825,0.00129998025,0.021618568375,0.003136744375,0.01257862875,0.0080581829375,0.002839848875,node_local
ep.c:npb,0.941284758117,3.2528033199299995,1.2503167553899999,2.504359e-06,0.0137076110135,21.29875,1.1732828369771044,1.1610111747070049,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,0.070507512875,1.5861947124375,0.006572602625,3.1125875581875,0.3176744714375,1.2725514190625,0.0068477490625,0.009137379625,interleave
fft:splash2x,0.294779666233,0.9129900036949999,0.41200902015199997,0.043244754801000006,0.40493590159000004,41.105,1.0566498505832074,1.0600390052060669,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,0.27402921775,0.196616311875,0.1304047730625,0.2760341611875,0.6619457930625,2.2213418011875,0.66377650175,1.235283310125,autonuma
fmm:splash2x,0.7539778199089999,0.835160896595,0.199517627054,0.0003385586005,0.024398164912,13.61625,1.0167071121896585,1.0766493699036324,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,0.5904630018125,0.3284947840625,0.1388500696875,0.959317846125,0.2047033845,1.16041655525,0.63040518725,0.41976130775,autonuma
ft.c:npb,0.329188098739,1.8953893920400002,0.8471095508670001,0.116772928928,0.521064955739,22.1475,1.5562582345191045,1.2700620049460594,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,1.048751077375,1.7684403763125,1.618123667375,0.8039319250625,0.715333940625,0.9640386181875,2.32709783125,0.9512068779375,interleave
lu.c:npb,0.249407060522,0.904823166322,0.23024283242,0.0407624577692,0.0977387325235,4.928125,1.1048059408715143,1.0196560196560196,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,0.478756407625,1.195055954875,0.94360973375,0.931792824875,0.8018926150625,0.5656538426875,0.5620595183125,0.8282457125,interleave
